  Time                 , V(U2:OUT)            , V(V4:+) *5 + 0.8     
  0.000000000000e+000  ,-7.368212812810e-002  ,8.000000000000e-001  
  1.000000000000e-010  ,-7.368212812207e-002  ,8.000853086131e-001  
  2.000000000000e-010  ,-7.368212812183e-002  ,8.001706172251e-001  
  4.000015228987e-010  ,-7.368212811760e-002  ,8.003412357402e-001  
  8.000045686960e-010  ,-7.368212811388e-002  ,8.006824727061e-001  
  1.600010660291e-009  ,-7.368212810261e-002  ,8.013649461229e-001  
  3.200022843480e-009  ,-7.368212807918e-002  ,8.027298888376e-001  
  6.400047209859e-009  ,-7.368212819215e-002  ,8.054597413160e-001  
  1.280009594262e-008  ,-7.368212802801e-002  ,8.109191826669e-001  
  2.280026521981e-008  ,-7.368210247838e-002  ,8.194483199310e-001  
  3.280043449700e-008  ,-7.368195979238e-002  ,8.279748371848e-001  
  4.280060377419e-008  ,-7.368150105979e-002  ,8.364975857653e-001  
  5.280077305138e-008  ,-7.368038517999e-002  ,8.450154175175e-001  
  6.280094232857e-008  ,-7.367810427661e-002  ,8.535271849484e-001  
  7.280111160576e-008  ,-7.367396440885e-002  ,8.620317413823e-001  
  8.280128088295e-008  ,-7.366707402319e-002  ,8.705279411147e-001  
  9.280145016015e-008  ,-7.365633589620e-002  ,8.790146395670e-001  
  1.028016194373e-007  ,-7.364044478015e-002  ,8.874906934406e-001  
  1.128017887145e-007  ,-7.361788713177e-002  ,8.959549608708e-001  
  1.228019579917e-007  ,-7.358694511990e-002  ,9.044063015809e-001  
  1.328021272689e-007  ,-7.354570184785e-002  ,9.128435770355e-001  
  1.428022965461e-007  ,-7.349204929896e-002  ,9.212656505939e-001  
  1.528024658233e-007  ,-7.342369730405e-002  ,9.296713876638e-001  
  1.628026351005e-007  ,-7.333818411732e-002  ,9.380596558531e-001  
  1.728028043777e-007  ,-7.323288793744e-002  ,9.464293251235e-001  
  1.828029736549e-007  ,-7.310503902146e-002  ,9.547792679422e-001  
  1.928031429321e-007  ,-7.295173263969e-002  ,9.631083594336e-001  
  2.028033122092e-007  ,-7.276994237211e-002  ,9.714154775315e-001  
  2.128034814864e-007  ,-7.255653405089e-002  ,9.796995031297e-001  
  2.228036507636e-007  ,-7.230827954392e-002  ,9.879593202328e-001  
  2.328038200408e-007  ,-7.202187135445e-002  ,9.961938161070e-001  
  2.428039893180e-007  ,-7.169393677491e-002  ,1.004401881429e+000  
  2.528041585952e-007  ,-7.132105308188e-002  ,1.012582410438e+000  
  2.628043278724e-007  ,-7.089976155825e-002  ,1.020734301080e+000  
  2.728044971496e-007  ,-7.042658342240e-002  ,1.028856455161e+000  
  2.828046664268e-007  ,-6.989803369319e-002  ,1.036947778493e+000  
  2.928048357040e-007  ,-6.931063755205e-002  ,1.045007181040e+000  
  3.028050049812e-007  ,-6.866094420038e-002  ,1.053033577068e+000  
  3.128051742584e-007  ,-6.794554346730e-002  ,1.061025885289e+000  
  3.228053435355e-007  ,-6.716107961281e-002  ,1.068983029005e+000  
  3.328055128127e-007  ,-6.630426817044e-002  ,1.076903936260e+000  
  3.428056820899e-007  ,-6.537190957735e-002  ,1.084787539974e+000  
  3.528058513671e-007  ,-6.436090598294e-002  ,1.092632778097e+000  
  3.628060206443e-007  ,-6.326827462567e-002  ,1.100438593745e+000  
  3.728061899215e-007  ,-6.209116470532e-002  ,1.108203935346e+000  
