  Frequency            , P(V(U2:-))- P(V(V4:+))
  1.000000000000e-002  ,-1.798866734567e+002  
  1.258925411794e-002  ,-1.798573311322e+002  
  1.584893192461e-002  ,-1.798203914425e+002  
  1.995262314969e-002  ,-1.797738873447e+002  
  2.511886431510e-002  ,-1.797153425854e+002  
  3.162277660168e-002  ,-1.796416399606e+002  
  3.981071705535e-002  ,-1.795488555702e+002  
  5.011872336273e-002  ,-1.794320503687e+002  
  6.309573444802e-002  ,-1.792850081660e+002  
  7.943282347243e-002  ,-1.790999066342e+002  
  1.000000000000e-001  ,-1.788669048096e+002  
  1.258925411794e-001  ,-1.785736271410e+002  
  1.584893192461e-001  ,-1.782045206208e+002  
  1.995262314969e-001  ,-1.777400587430e+002  
  2.511886431510e-001  ,-1.771557657353e+002  
  3.162277660168e-001  ,-1.764210404340e+002  
  3.981071705535e-001  ,-1.754977788383e+002  
  5.011872336273e-001  ,-1.743388424060e+002  
  6.309573444802e-001  ,-1.728865226251e+002  
  7.943282347243e-001  ,-1.710713582150e+002  
  1.000000000000e+000  ,-1.688120411501e+002  
  1.258925411794e+000  ,-1.660177825435e+002  
  1.584893192461e+000  ,-1.625954032772e+002  
  1.995262314969e+000  ,-1.584642351732e+002  
  2.511886431510e+000  ,-1.535814961253e+002  
  3.162277660168e+000  ,-1.479767845608e+002  
  3.981071705535e+000  ,-1.417847488845e+002  
  5.011872336273e+000  ,-1.352537992819e+002  
  6.309573444802e+000  ,-1.287103425844e+002  
  7.943282347243e+000  ,-1.224839383121e+002  
  1.000000000000e+001  ,-1.168307562308e+002  
  1.258925411794e+001  ,-1.118942381659e+002  
  1.584893192461e+001  ,-1.077110141950e+002  
  1.995262314969e+001  ,-1.042426527263e+002  
  2.511886431510e+001  ,-1.014105607944e+002  
  3.162277660168e+001  ,-9.912218849649e+001  
  3.981071705535e+001  ,-9.728666251165e+001  
  5.011872336273e+001  ,-9.582237150641e+001  
  6.309573444802e+001  ,-9.465962419876e+001  
  7.943282347243e+001  ,-9.374071865160e+001  
  1.000000000000e+002  ,-9.301885501516e+001  
  1.258925411794e+002  ,-9.245666824560e+001  
  1.584893192461e+002  ,-9.202476165530e+001  
  1.995262314969e+002  ,-9.170040683696e+001  
  2.511886431510e+002  ,-9.146646728820e+001  
  3.162277660168e+002  ,-9.131055327222e+001  
  3.981071705535e+002  ,-9.122439586086e+001  
  5.011872336273e+002  ,-9.120342345797e+001  
  6.309573444802e+002  ,-9.124652657473e+001  
  7.943282347243e+002  ,-9.135600239982e+001  
  1.000000000000e+003  ,-9.153767802114e+001  
  1.258925411794e+003  ,-9.180121930094e+001  
  1.584893192461e+003  ,-9.216064113962e+001  
  1.995262314969e+003  ,-9.263504408268e+001  
  2.511886431510e+003  ,-9.324961167765e+001  
  3.162277660168e+003  ,-9.403691190063e+001  
  3.981071705535e+003  ,-9.503855239574e+001  
  5.011872336273e+003  ,-9.630723883930e+001  
  6.309573444802e+003  ,-9.790926930748e+001  
  7.943282347243e+003  ,-9.992744678871e+001  
  1.000000000000e+004  ,-1.024642718300e+002  
  1.258925411794e+004  ,-1.056450238385e+002  
  1.584893192461e+004  ,-1.096198457788e+002  
  1.995262314969e+004  ,-1.145630605983e+002  
  2.511886431510e+004  ,-1.206665317000e+002  
  3.162277660168e+004  ,-1.281220650083e+002  
  3.981071705535e+004  ,-1.370866879624e+002  
  5.011872336273e+004  ,-1.476271241872e+002  
