  Frequency            , V(R1:2)              
  1.000000000000e-002  ,8.642444251893e-001  
  1.079775162328e-002  ,8.642444251879e-001  
  1.165914401180e-002  ,8.642444251864e-001  
  1.258925411794e-002  ,8.642444251845e-001  
  1.359356390879e-002  ,8.642444251824e-001  
  1.467799267622e-002  ,8.642444251799e-001  
  1.584893192461e-002  ,8.642444251771e-001  
  1.711328304162e-002  ,8.642444251737e-001  
  1.847849797422e-002  ,8.642444251698e-001  
  1.995262314969e-002  ,8.642444251652e-001  
  2.154434690032e-002  ,8.642444251599e-001  
  2.326305067154e-002  ,8.642444251537e-001  
  2.511886431510e-002  ,8.642444251464e-001  
  2.712272579332e-002  ,8.642444251380e-001  
  2.928644564625e-002  ,8.642444251281e-001  
  3.162277660168e-002  ,8.642444251166e-001  
  3.414548873834e-002  ,8.642444251032e-001  
  3.686945064520e-002  ,8.642444250876e-001  
  3.981071705535e-002  ,8.642444250694e-001  
  4.298662347082e-002  ,8.642444250482e-001  
  4.641588833613e-002  ,8.642444250235e-001  
  5.011872336273e-002  ,8.642444249946e-001  
  5.411695265465e-002  ,8.642444249610e-001  
  5.843414133735e-002  ,8.642444249218e-001  
  6.309573444802e-002  ,8.642444248761e-001  
  6.812920690580e-002  ,8.642444248228e-001  
  7.356422544596e-002  ,8.642444247607e-001  
  7.943282347243e-002  ,8.642444246882e-001  
  8.576958985909e-002  ,8.642444246037e-001  
  9.261187281288e-002  ,8.642444245053e-001  
  1.000000000000e-001  ,8.642444243904e-001  
  1.079775162328e-001  ,8.642444242566e-001  
  1.165914401180e-001  ,8.642444241005e-001  
  1.258925411794e-001  ,8.642444239185e-001  
  1.359356390879e-001  ,8.642444237063e-001  
  1.467799267622e-001  ,8.642444234589e-001  
  1.584893192461e-001  ,8.642444231705e-001  
  1.711328304162e-001  ,8.642444228342e-001  
  1.847849797422e-001  ,8.642444224422e-001  
  1.995262314969e-001  ,8.642444219851e-001  
  2.154434690032e-001  ,8.642444214521e-001  
  2.326305067154e-001  ,8.642444208307e-001  
  2.511886431510e-001  ,8.642444201062e-001  
  2.712272579332e-001  ,8.642444192615e-001  
  2.928644564625e-001  ,8.642444182767e-001  
  3.162277660168e-001  ,8.642444171285e-001  
  3.414548873834e-001  ,8.642444157897e-001  
  3.686945064520e-001  ,8.642444142289e-001  
  3.981071705535e-001  ,8.642444124090e-001  
  4.298662347082e-001  ,8.642444102873e-001  
  4.641588833613e-001  ,8.642444078135e-001  
  5.011872336273e-001  ,8.642444049293e-001  
  5.411695265465e-001  ,8.642444015665e-001  
  5.843414133735e-001  ,8.642443976458e-001  
  6.309573444802e-001  ,8.642443930746e-001  
  6.812920690580e-001  ,8.642443877450e-001  
  7.356422544596e-001  ,8.642443815311e-001  
  7.943282347243e-001  ,8.642443742862e-001  
  8.576958985909e-001  ,8.642443658393e-001  
  9.261187281288e-001  ,8.642443559910e-001  
  1.000000000000e+000  ,8.642443445086e-001  
  1.079775162328e+000  ,8.642443311211e-001  
  1.165914401180e+000  ,8.642443155125e-001  
  1.258925411794e+000  ,8.642442973142e-001  
  1.359356390879e+000  ,8.642442760964e-001  
  1.467799267622e+000  ,8.642442513584e-001  
  1.584893192461e+000  ,8.642442225158e-001  
  1.711328304162e+000  ,8.642441888879e-001  
  1.847849797422e+000  ,8.642441496805e-001  
  1.995262314969e+000  ,8.642441039679e-001  
  2.154434690032e+000  ,8.642440506709e-001  
  2.326305067154e+000  ,8.642439885309e-001  
  2.511886431510e+000  ,8.642439160809e-001  
  2.712272579332e+000  ,8.642438316099e-001  
  2.928644564625e+000  ,8.642437331237e-001  
  3.162277660168e+000  ,8.642436182966e-001  
  3.414548873834e+000  ,8.642434844172e-001  
  3.686945064520e+000  ,8.642433283243e-001  
  3.981071705535e+000  ,8.642431463319e-001  
  4.298662347082e+000  ,8.642429341424e-001  
  4.641588833613e+000  ,8.642426867450e-001  
  5.011872336273e+000  ,8.642423982973e-001  
  5.411695265465e+000  ,8.642420619870e-001  
  5.843414133735e+000  ,8.642416698715e-001  
  6.309573444802e+000  ,8.642412126894e-001  
  6.812920690580e+000  ,8.642406796421e-001  
  7.356422544596e+000  ,8.642400581380e-001  
  7.943282347243e+000  ,8.642393334949e-001  
  8.576958985909e+000  ,8.642384885926e-001  
  9.261187281288e+000  ,8.642375034672e-001  
  1.000000000000e+001  ,8.642363548389e-001  
  1.079775162328e+001  ,8.642350155598e-001  
  1.165914401180e+001  ,8.642334539707e-001  
  1.258925411794e+001  ,8.642316331495e-001  
  1.359356390879e+001  ,8.642295100350e-001  
  1.467799267622e+001  ,8.642270344030e-001  
  1.584893192461e+001  ,8.642241476714e-001  
  1.711328304162e+001  ,8.642207815048e-001  
  1.847849797422e+001  ,8.642168561837e-001  
  1.995262314969e+001  ,8.642122786992e-001  
  2.154434690032e+001  ,8.642069405259e-001  
  2.326305067154e+001  ,8.642007150163e-001  
  2.511886431510e+001  ,8.641934543525e-001  
  2.712272579332e+001  ,8.641849859770e-001  
  2.928644564625e+001  ,8.641751084105e-001  
  3.162277660168e+001  ,8.641635863484e-001  
  3.414548873834e+001  ,8.641501449050e-001  
  3.686945064520e+001  ,8.641344628513e-001  
  3.981071705535e+001  ,8.641161646603e-001  
  4.298662347082e+001  ,8.640948111356e-001  
  4.641588833613e+001  ,8.640698883541e-001  
  5.011872336273e+001  ,8.640407945936e-001  
  5.411695265465e+001  ,8.640068248467e-001  
  5.843414133735e+001  ,8.639671524289e-001  
  6.309573444802e+001  ,8.639208070752e-001  
  6.812920690580e+001  ,8.638666487717e-001  
  7.356422544596e+001  ,8.638033363796e-001  
  7.943282347243e+001  ,8.637292898632e-001  
  8.576958985909e+001  ,8.636426446105e-001  
  9.261187281288e+001  ,8.635411959100e-001  
  1.000000000000e+002  ,8.634223310833e-001  
  1.079775162328e+002  ,8.632829460064e-001  
  1.165914401180e+002  ,8.631193417258e-001  
  1.258925411794e+002  ,8.629270954556e-001  
  1.359356390879e+002  ,8.627008982858e-001  
  1.467799267622e+002  ,8.624343491967e-001  
  1.584893192461e+002  ,8.621196910993e-001  
  1.711328304162e+002  ,8.617474690930e-001  
  1.847849797422e+002  ,8.613060831095e-001  
  1.995262314969e+002  ,8.607811953474e-001  
  2.154434690032e+002  ,8.601549353767e-001  
  2.326305067154e+002  ,8.594048192840e-001  
  2.511886431510e+002  ,8.585022584595e-001  
  2.712272579332e+002  ,8.574104697494e-001  
  2.928644564625e+002  ,8.560814966351e-001  
  3.162277660168e+002  ,8.544518844673e-001  
  3.414548873834e+002  ,8.524362742868e-001  
  3.686945064520e+002  ,8.499177023502e-001  
  3.981071705535e+002  ,8.467325512131e-001  
  4.298662347082e+002  ,8.426465711201e-001  
  4.641588833613e+002  ,8.373155290172e-001  
  5.011872336273e+002  ,8.302184996924e-001  
  5.411695265465e+002  ,8.205407128351e-001  
  5.843414133735e+002  ,8.069599591897e-001  
  6.309573444802e+002  ,7.872423852561e-001  
  6.812920690580e+002  ,7.574537217175e-001  
  7.356422544596e+002  ,7.104095617986e-001  
  7.943282347243e+002  ,6.328383564229e-001  
  8.576958985909e+002  ,5.018708960179e-001  
  9.261187281288e+002  ,2.895723396064e-001  
  1.000000000000e+003  ,2.336437115001e-005  
  1.079775162328e+003  ,2.895331384513e-001  
  1.165914401180e+003  ,5.018453834715e-001  
  1.258925411794e+003  ,6.328232021253e-001  
  1.359356390879e+003  ,7.104005210329e-001  
  1.467799267622e+003  ,7.574481154943e-001  
  1.584893192461e+003  ,7.872387480704e-001  
  1.711328304162e+003  ,8.069574978763e-001  
  1.847849797422e+003  ,8.205389851252e-001  
  1.995262314969e+003  ,8.302172487368e-001  
  2.154434690032e+003  ,8.373145993613e-001  
  2.326305067154e+003  ,8.426458649885e-001  
  2.511886431510e+003  ,8.467320049377e-001  
  2.712272579332e+003  ,8.499172731705e-001  
  2.928644564625e+003  ,8.524359326837e-001  
  3.162277660168e+003  ,8.544516095589e-001  
  3.414548873834e+003  ,8.560812733245e-001  
  3.686945064520e+003  ,8.574102869077e-001  
  3.981071705535e+003  ,8.585021077394e-001  
  4.298662347082e+003  ,8.594046943262e-001  
  4.641588833613e+003  ,8.601548312687e-001  
  5.011872336273e+003  ,8.607811082467e-001  
  5.411695265465e+003  ,8.613060099766e-001  
  5.843414133735e+003  ,8.617474075002e-001  
  6.309573444802e+003  ,8.621196390898e-001  
  6.812920690580e+003  ,8.624343051812e-001  
  7.356422544596e+003  ,8.627008609642e-001  
  7.943282347243e+003  ,8.629270637580e-001  
  8.576958985909e+003  ,8.631193147669e-001  
  9.261187281288e+003  ,8.632829230502e-001  
  1.000000000000e+004  ,8.634223115153e-001  
  1.079775162328e+004  ,8.635411792155e-001  
  1.165914401180e+004  ,8.636426303566e-001  
  1.258925411794e+004  ,8.637292776854e-001  
  1.359356390879e+004  ,8.638033259695e-001  
  1.467799267622e+004  ,8.638666398686e-001  
  1.584893192461e+004  ,8.639207994578e-001  
  1.711328304162e+004  ,8.639671459093e-001  
  1.847849797422e+004  ,8.640068192649e-001  
  1.995262314969e+004  ,8.640407898135e-001  
  2.154434690032e+004  ,8.640698842598e-001  
  2.326305067154e+004  ,8.640948076279e-001  
  2.511886431510e+004  ,8.641161616547e-001  
  2.712272579332e+004  ,8.641344602756e-001  
  2.928644564625e+004  ,8.641501426974e-001  
  3.162277660168e+004  ,8.641635844561e-001  
  3.414548873834e+004  ,8.641751067884e-001  
  3.686945064520e+004  ,8.641849845863e-001  
  3.981071705535e+004  ,8.641934531602e-001  
  4.298662347082e+004  ,8.642007139940e-001  
  4.641588833613e+004  ,8.642069396494e-001  
  5.011872336273e+004  ,8.642122779476e-001  
  5.411695265465e+004  ,8.642168555391e-001  
  5.843414133735e+004  ,8.642207809521e-001  
  6.309573444802e+004  ,8.642241471974e-001  
  6.812920690580e+004  ,8.642270339965e-001  
  7.356422544596e+004  ,8.642295096864e-001  
  7.943282347243e+004  ,8.642316328505e-001  
  8.576958985909e+004  ,8.642334537143e-001  
  9.261187281288e+004  ,8.642350153399e-001  
  1.000000000000e+005  ,8.642363546503e-001  
